time,pillow,method,QUALITYSCORE,severity,flag,reason_code,reason_detail,cur_mm,prev_mm,diff_mm,peer_median_mm,resid_mm,thr_mm,sigma_mm,n_peers_used,peers_used,missing_today_flag,phys_flag,nan_transition_flag,dswe_flag,pred_flag,pred_check_skipped,pred_skip_reason,dq_lo,dq_hi,snow_present_mm,melt_gate,vote_ok_frac,ok_frac_thresh,voters_used,voters_dropped,n_vote_records,dynamic_voters,n_dynamic_voters,use_delta,voters_list,vote_check_skipped,vote_skip_reason,pred_method,pred_method_used,dswe_mm,yhat_mm,se_pred_mm,h0,hist_dq_lo,hist_dq_hi
2025-10-01,TMR,voting,0.0,0.0,0,OK,,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0.0,not_applicable,-50.800000000000004,67.05599999999997,,1.0,1.0,0.6,4.0,1.0,5.0,1.0,5.0,1.0,"CHM,GRM,SLK,TUM,KUB",1.0,melt_gate<50.0mm,,,,,,,,
2025-10-01,TNY,voting,0.0,0.0,0,OK,,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0.0,not_applicable,-49.034699999999994,72.42809999999949,,1.0,1.0,0.6,4.0,1.0,5.0,1.0,5.0,1.0,"STR,KUB,CHM,MHP,KSP",1.0,melt_gate<50.0mm,,,,,,,,
2025-10-01,TUM,voting,0.0,0.0,0,OK,,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0.0,not_applicable,-42.672,51.57216000000019,,1.0,1.0,0.6,4.0,1.0,5.0,1.0,5.0,1.0,"TMR,CHM,KUB,STR,KSP",1.0,melt_gate<50.0mm,,,,,,,,
2025-10-01,UBC,voting,0.0,0.0,0,OK,,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0.0,not_applicable,-63.536830000000016,85.70849000000028,,1.0,1.0,0.6,4.0,1.0,5.0,1.0,5.0,1.0,"MHP,KUB,STR,CHM,FLV",1.0,melt_gate<50.0mm,,,,,,,,
2025-10-01,VLC,voting,1.0,1.0,1,MISSING_TODAY,current value is NaN,,,,,,,,,,1,0,0,0,0,1.0,not_applicable,,,,0.0,,0.6,0.0,0.0,0.0,1.0,5.0,1.0,"FLV,KUB,MHP,KSP,TNY",0.0,,,,,,,,,
2025-10-01,WWC,voting,1.0,1.0,1,MISSING_TODAY,current value is NaN,,,,,,,,,,1,0,0,0,0,1.0,not_applicable,,,,0.0,,0.6,0.0,0.0,0.0,1.0,5.0,1.0,"KSP,CHM,STR,MHP,KUB",0.0,,,,,,,,,
2025-10-01,AGP,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,48.93459993831037,20.31297203887011,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,0.0,20.389416640962654,0.007540840939115138,,
2025-10-01,BCB,snowmodel,,,0,OK,,7.112,7.112,,,,222.47769504128112,92.61499327372478,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,92.69903960053381,0.0018157850915960175,-83.05799999999999,114.91467999999955
2025-10-01,BGP,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,122.41056544288477,50.974279144954835,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,1.300426793697412,51.004402267868656,0.0011822442224343989,,
2025-10-01,BSH,snowmodel,,,1,PHYS_LIMIT,"cur_mm=-67.3 outside [0,3000]",-67.30999999999999,-67.30999999999999,,,,117.63321025901146,48.959988171801065,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.49164924630835327,49.013837607921445,0.0022009421047508777,-66.294,66.04000000000008
2025-10-01,CHM,snowmodel,,,0,OK,,0.0,0.0,,,,164.7837801385908,68.62460905844989,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,68.6599083910795,0.001029030600026422,-49.78400000000006,79.63661999999972
2025-10-01,DAN,snowmodel,,,0,OK,,0.0,0.0,,,,151.67850420184246,63.16910945596362,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,63.19937675076769,0.0009585237565601501,-67.00519999999996,86.35999999999999
2025-10-01,DPO,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,150.61848758358266,62.71539130349041,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,12.394846445867467,62.757703159826114,0.0013497844344891805,,
2025-10-01,FLV,snowmodel,,,0,OK,,0.0,0.0,,,,147.35298204626736,61.335277448254345,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,19.89327975033291,61.3970758526114,0.0020161166442370627,-70.35799999999998,74.36993000000027
2025-10-01,GEM,snowmodel,,,1,MISSING_TODAY,current SWE is NaN,,,,,,85.26766526485919,35.50433570833059,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,,0.0,35.528193860357995,0.0013444086551380168,,
2025-10-01,GRM,snowmodel,,,0,OK,,0.0,0.0,,,,256.7781710722416,106.93231644087057,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,1.4372701382219688,106.99090461343401,0.0010960993782224793,-52.50434,69.26071999999817
2025-10-01,GRV,snowmodel,,,0,OK,,0.0,0.0,,,,110.23356182466073,45.90400677094005,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,2.4511851476395883,45.930650760275306,0.0011611937028647794,-42.67199999999991,60.95999999999993
2025-10-01,HNT,snowmodel,,,0,OK,,0.0,0.0,,,,155.15406810162798,64.61335659645371,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,seasonal,seasonal,0.0,0.0,64.64752837567833,0.0010580108251218021,-37.43579000000001,50.03799999999998
